Place,Surface,Room Number,Flooring,Balcony,Price
Liman,59,2.0,6,0,122600.0
Bulevar Oslobođenja,62,2.5,9,1,133900.0
Stari Grad,36,1.5,2,1,123600.0
Novo Naselje,62,3.0,1,1,135960.0
Nova Detelinara,57,2.5,1,1,146800.0
Detelinara,148,5.0,1,1,311000.0
Telep,79,4.0,1,1,170000.0
Stari Grad,84,3.0,6,1,225000.0
Rotkvarija,23,1.0,1,0,68000.0
Nova Detelinara,99,4.0,1,0,185300.0
Sajmište,72,2.0,0,0,87500.0
Adice,71,3.5,1,1,135950.0
Stari Grad,71,3.0,2,1,140000.0
Stari Grad,63,2.5,3,1,154500.0
Novo Naselje,94,4.0,5,1,140390.0
Nova Detelinara,40,1.5,1,1,113300.0
Liman,72,3.0,5,1,154500.0
Grbavica,48,2.0,5,1,118450.0
Liman,72,2.5,5,1,209200.0
Stari Grad,58,2.5,3,1,125400.0
Liman,30,0.5,13,0,75000.0
Podbara,24,0.5,1,0,72000.0
Podbara,38,1.5,2,0,100700.0
Sajmište,28,0.5,4,1,88000.0
Stari Grad,86,5.0,4,1,180500.0
Petrovaradin,80,3.5,2,1,149600.0
Podbara,43,2.0,4,1,120000.0
Sajmište,45,2.0,2,1,135000.0
Banatić,23,0.5,7,1,69000.0
Novo Naselje,65,2.0,7,1,120250.0
Podbara,43,2.0,4,1,123600.0
Novo Naselje,29,0.5,4,0,70900.0
Liman,79,3.0,6,1,211100.0
Podbara,27,0.5,0,0,72100.0
Stari Grad,21,0.5,0,0,61800.0
Stari Grad,32,1.0,4,1,90000.0
Rotkvarija,47,3.0,1,1,160100.0
Rotkvarija,23,0.5,7,1,73150.0
Telep,46,3.0,2,1,108100.0
Bulevar Oslobođenja,53,2.0,8,1,164200.0
Novo Naselje,65,3.0,8,0,153900.0
Grbavica,35,1.5,0,1,108100.0
Nova Detelinara,86,4.0,3,1,236900.0
Salajka,32,1.5,1,0,87500.0
Detelinara,85,4.0,5,1,144200.0
Novo Naselje,29,0.5,4,0,71000.0
Stari Grad,24,0.5,1,1,74150.0
Liman,30,0.5,13,0,77250.0
